year,race,driver,team,quali_position,quali_time_sec,delta_to_pole,avg_race_pace,median_race_pace,stint_count,pit_stops,final_position,fp2_avg_pace,fp2_med_pace,fp2_laps,sprint_avg_pace,sprint_med_pace,sprint_laps,pace_fp2sprint_avg,pace_fp2sprint_med,pace_fp2sprint_laps,quali_normalized,pace_ratio,pace_fp2sprint_ratio,race_variability
2024,Pre-Season Testing,ZHO,Kick Sauber,20.0,92.054,2.5289999999999964,100.16050819672132,99.743,2.0,1,15,93.35225,93.3025,4.0,96.9850833325,96.95150000000001,18.0,93.35225,93.3025,4.0,1.0,1.0041858395749208,1.000533211864634,0.004185839574920834
2024,Bahrain Grand Prix,VER,Red Bull Racing,1.0,89.179,0.0,96.57442105263156,95.679,3.0,2,1,94.751111111,96.527,9.0,96.9850833325,96.95150000000001,18.0,94.751111111,96.527,9.0,0.05,1.0093585954350648,0.9816021539154848,0.009358595435064768
2024,Bahrain Grand Prix,LEC,Ferrari,2.0,89.407,0.2279999999999944,97.27036842105262,96.796,3.0,2,4,93.4254,91.578,5.0,96.9850833325,96.95150000000001,18.0,93.4254,91.578,5.0,0.1,1.0049007027258627,1.0201729673065583,0.004900702725862813
2024,Bahrain Grand Prix,RUS,Mercedes,3.0,89.485,0.3059999999999974,97.39526315789472,96.683,3.0,2,5,93.026333333,91.821,3.0,96.9850833325,96.95150000000001,18.0,93.026333333,91.821,3.0,0.15,1.0073669947963417,1.013126989828035,0.007366994796341763
2024,Bahrain Grand Prix,SAI,Ferrari,4.0,89.507,0.3280000000000029,97.01494736842103,96.22,3.0,2,3,91.356,91.576,3.0,96.9850833325,96.95150000000001,18.0,91.356,91.576,3.0,0.2,1.0082617685348267,0.9975976238315716,0.0082617685348268
2024,Bahrain Grand Prix,PER,Red Bull Racing,5.0,89.537,0.3580000000000041,96.96840350877191,96.249,3.0,2,2,93.7515,93.7875,6.0,96.9850833325,96.95150000000001,18.0,93.7515,93.7875,6.0,0.25,1.007474399825161,0.9996161535385846,0.007474399825160975
2024,Bahrain Grand Prix,ALO,Aston Martin,6.0,89.542,0.3629999999999995,97.88822807017542,97.265,3.0,2,9,91.209666666,91.035,3.0,96.9850833325,96.95150000000001,18.0,91.209666666,91.035,3.0,0.3,1.0064075265529782,1.0019186759597958,0.0064075265529781
2024,Bahrain Grand Prix,NOR,McLaren,7.0,89.614,0.4350000000000023,97.42456140350878,96.62,3.0,2,6,92.754,92.754,2.0,96.9850833325,96.95150000000001,18.0,92.754,92.754,2.0,0.35,1.0083270689661434,1.0,0.008327068966143355
2024,Bahrain Grand Prix,PIA,McLaren,8.0,89.683,0.5040000000000049,97.5583157894737,96.796,3.0,2,8,94.877,96.187,9.0,96.9850833325,96.95150000000001,18.0,94.877,96.187,9.0,0.4,1.0078754885478087,0.9863806959360413,0.007875488547808682
2024,Bahrain Grand Prix,HAM,Mercedes,9.0,89.71,0.5309999999999917,97.45729824561404,96.694,3.0,2,7,92.2995,91.0775,4.0,96.9850833325,96.95150000000001,18.0,92.2995,91.0775,4.0,0.45,1.0078939566634335,1.0134171447393703,0.007893956663433493
2024,Bahrain Grand Prix,HUL,Haas F1 Team,10.0,90.502,1.3229999999999933,98.61382142857144,96.947,4.0,3,16,91.699,92.074,3.0,96.9850833325,96.95150000000001,18.0,91.699,92.074,3.0,0.5,1.0171931202468507,0.9959271890001521,0.017193120246850737
